Section,Section Name,Division Code,Division Name,Group Code,Group Name,Class Code,Class Name,Sub-class Code,Sub-class Name,Description
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0112',Growing of rice,'01122',Organic farming of non-basmati rice,"Cultivation of non-basmati rice using organic farming methods, which involves planting, nurturing, and harvesting the crop without the use of synthetic pesticides, fertilizers, or genetically modified organisms. The process also includes activities like soil management, crop rotation, and natural pest control to maintain soil health and productivity. The harvested organic non-basmati rice might also undergo initial processing before being prepared for market or distribution."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0112',Growing of rice,'01123',Inorganic farming of basmati rice,"Cultivating basmati rice using inorganic methods, which involves the application of synthetic fertilizers, pesticides, and other non-natural substances. The process includes preparing the land, sowing the seeds, managing the growth of the crop with the use of chemical inputs, harvesting the mature rice, and initial processing such as drying, milling, and packaging for distribution."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0112',Growing of rice,'01124',Inorganic farming of non-basmati rice,"Cultivation of non-basmati rice using inorganic farming methods, which may involve the use of chemical fertilizers, pesticides, and other synthetic substances. This includes all stages of the production process from preparation of the land, sowing, irrigating, applying fertilizers and pesticides, to harvesting. Post-harvest activities such as drying, milling and packaging of the rice may also be included."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0113',"Growing of vegetables and melons, roots and tubers",'01131',"Growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory, spinach and other leafy or stem vegetables","Commercial cultivation of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory, spinach and other leafy or stem vegetables. This involves all stages of production from planting and tending to harvesting and initial processing. The business may also include services such as crop rotation planning, pest management, and post-harvest handling and storage."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0113',"Growing of vegetables and melons, roots and tubers",'01132',"Growing of cucumbers, gherkins, aubergines, tomatoes, watermelons, cantaloupes , melons and other fruit-bearing vegetables","Commercial cultivation of cucumbers, gherkins, aubergines, tomatoes, watermelons, cantaloupes, melons, and other fruit-bearing vegetables. This involves all stages of production from planting and tending to the crops, through to harvesting. The business may also involve initial processing of these vegetables for sale or distribution."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0113',"Growing of vegetables and melons, roots and tubers",'01133',Growing of onion,"Commercial cultivation of onions, involving processes such as planting, nurturing, harvesting, and packaging of onions for sale. This may also include the preparation of land, use of specialized machinery for large scale onion farming, pest control measures, and initial processing such as cleaning and sorting."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0113',"Growing of vegetables and melons, roots and tubers",'01134',"Growing of carrots, beets,turnips, garlic, leeks and other root, bulb vegetables(onion excluded)","The business activity involves the cultivation of various root and bulb vegetables such as carrots, beets, turnips, garlic, and leeks, excluding onions. Core operations typically include soil preparation, seeding, watering, and crop protection measures, followed by harvesting, cleaning, and sorting of the produce. The business may also provide initial processing services such as packaging and storage."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0113',"Growing of vegetables and melons, roots and tubers",'01135',"Growing of potatoes and other tubers such as sweet potatoes, cassava, yams""","Commercial cultivation of potatoes and other tubers such as sweet potatoes, cassava, and yams. This involves all stages of production from planting and tending to harvesting and initial processing. The business operation may also include soil preparation, crop maintenance, and pest management services."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0113',"Growing of vegetables and melons, roots and tubers",'01136',Growing of mushrooms and truffles,"Commercial cultivation of mushrooms and truffles, involving processes such as preparing the growing mediums, planting, nurturing, harvesting, and initial processing. This sub-class also includes businesses that grow these fungi for sale to food retailers, restaurants, and manufacturers."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0113',"Growing of vegetables and melons, roots and tubers",'01137',Growing of vegetable seeds (except beet seed),"Commercial cultivation of vegetable seeds, excluding beet seeds, primarily involves the planting, nurturing, and harvesting of a variety of vegetable seeds. This includes the preparation of land, sowing of seeds, use of fertilizers and pesticides, irrigation, and the eventual collection of mature seeds. The business activity may also encompass initial processing such as cleaning, drying, and packaging of harvested seeds for sale or further cultivation."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0113',"Growing of vegetables and melons, roots and tubers",'01139',"Growing of vegetables, n.e.c.""","Commercial cultivation of various types of vegetables not elsewhere classified, which involves activities such as planting, nurturing, harvesting, and initial processing. This may include the production of vegetables like bell peppers, squashes, eggplants, and other similar crops that are not specifically mentioned in other categories. The process typically includes preparing the land, sowing seeds, applying fertilizers and pesticides, irrigating crops, and eventually harvesting and packaging for distribution."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0114',Growing of sugar cane,'01140',Growing of sugar cane,"Commercial cultivation of sugar cane, involving processes such as planting, nurturing, and harvesting of the crop. This business activity also includes initial processing like crushing the cane to extract juice for sugar production."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0115',Growing of tobacco,'01150',Growing of tobacco,"Commercial cultivation of tobacco plants, encompassing activities such as planting, nurturing, harvesting, and initial processing of tobacco leaves. This business operation may also include the management of tobacco plantations and the preparation of tobacco leaves for the production of various tobacco products."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0116',Growing of fibre crops,'01161',Growing of cotton,"Commercial cultivation of cotton crops, encompassing activities such as planting, nurturing, harvesting, and initial processing of the cotton for further use in textile industries or for sale. It may also involve the use of various farming techniques to ensure the growth and quality of the cotton crop."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0116',Growing of fibre crops,'01162',Growing of jute,"Commercial cultivation of jute crops, which involves activities such as planting, nurturing, harvesting, and initial processing. This business activity may also include the production of jute seeds and other related jute products."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0116',Growing of fibre crops,'01169',Growing of other fibre crops,"Commercial cultivation of various types of fibre crops not mentioned elsewhere. This includes the entire farming process from planting and nurturing to harvesting and initial processing of crops. The crops grown may be used for a variety of purposes, including the production of textiles, cordage, or other industrial materials."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0119',Growing of other non-perennial crops,'01191',Growing of rose,"Commercial cultivation of rose plants, encompassing activities such as planting, nurturing, and harvesting. This business typically involves the production of roses for various purposes including ornamental use, oil extraction, and other rose-derived products. It may also include services such as the sale of roses, rose plants, and related products."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0119',Growing of other non-perennial crops,'01192',Growing of gladiolus,"Commercial cultivation of gladiolus flowers, involving processes such as planting, nurturing, harvesting, and packaging. This business activity may also include the sale of harvested gladiolus directly to customers or through various distribution channels."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0119',Growing of other non-perennial crops,'01193',"Growing of other flowers, including production of cut flowers, flower buds and flower seeds","Commercial cultivation of various types of flowers, encompassing the entire process from planting to harvesting. This includes the production of cut flowers, flower buds, and flower seeds. The business operations typically involve soil preparation, sowing, nurturing, and finally harvesting the flowers. The harvested flowers may be sold as fresh cut flowers, while flower buds and seeds are packaged and sold for personal or commercial gardening."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0119',Growing of other non-perennial crops,'01199',"Growing of other non-perennial crops including beet seed and padding materials, n.e.c.","The business activity involves the cultivation of non-perennial crops such as beet seed and padding materials, among others not elsewhere classified. Typical operations include planting, nurturing, and harvesting these crops. It may also involve the initial processing of these crops, such as cleaning, sorting, packaging, and preparing for market or further use."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0121',Growing of grapes,'01210',Growing of grapes,"Commercial cultivation of grapevines, encompassing planting, nurturing, harvesting, and initial processing of grapes. This can include activities for both table grapes and wine grapes, and may also involve the production of grape seed oil or raisins."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0122',Growing of tropical and subtropical fruits,'01221',Growing of mangoes,"Commercial cultivation of mangoes, involving activities such as planting, nurturing, harvesting, and packaging of the fruit. The process may also include the maintenance of mango orchards, disease control, and pest management to ensure the healthy growth of the trees."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0122',Growing of tropical and subtropical fruits,'01222',Growing of bananas,"Commercial cultivation of bananas in tropical and subtropical climates, involving planting, nurturing, harvesting, and initial processing of the fruit. This business activity may also include pest and disease management, irrigation, and fertilization to ensure a healthy and productive crop."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0122',Growing of tropical and subtropical fruits,'01223',Growing of pineapples,"Commercial cultivation of tropical and subtropical fruits, specifically pineapples, is the core activity in this classification. This involves the entire process of growing pineapples, from planting and tending to the crops, to harvesting and preparing them for sale or further processing. The business may also provide related services such as pest management, irrigation, and crop rotation planning."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0122',Growing of tropical and subtropical fruits,'01224',Growing of lichchis,"Commercial cultivation of lichchis, a tropical and subtropical fruit, involving processes such as planting, nurturing, harvesting and packaging for market distribution. This business activity may also include pest control, irrigation, and fertilization to ensure healthy and high-quality fruit yield."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0122',Growing of tropical and subtropical fruits,'01225',Growing of guava,"Commercial cultivation of guava fruits, encompassing the entire process from planting and nurturing the trees, to harvesting the mature fruits. This business activity may also include initial processing such as sorting, cleaning, and packaging of the harvested guavas for sale or distribution."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0122',Growing of tropical and subtropical fruits,'01229',Growing of other tropical and sub tropical fruits,"Commercial cultivation of various tropical and subtropical fruits, beyond the commonly grown varieties. This involves the entire agricultural process from planting and growing to harvesting and initial processing. The activities may include cultivation of fruits such as guava, mango, papaya, pineapple, banana, and other less common tropical fruits. These businesses might also provide related services such as pest control, fertilization, and irrigation support for these specific fruit crops."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0123',Growing of citrus fruits,'01231',Growing of oranges,"Commercial cultivation of oranges, encompassing activities such as planting, nurturing, harvesting, and packaging of oranges. This may also include the maintenance of orange orchards, pest control, and initial processing or preparation of oranges for distribution and sale."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0123',Growing of citrus fruits,'01232',Growing of mousambi (grape fruit),"Commercial cultivation of mousambi, also known as grapefruit, which involves processes such as planting, nurturing, harvesting, and packaging for market sale. This business activity may also include the management of grapefruit orchards, pest control, and fertilization to ensure healthy crop growth."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0123',Growing of citrus fruits,'01233',Growing of lemons and lime,"Commercial cultivation of lemons and lime, encompassing all stages of production from planting and nurturing the trees, to harvesting the fruit. This also includes pest management, irrigation, and initial processing such as cleaning, sorting, and packaging of the harvested citrus fruits."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0123',Growing of citrus fruits,'01239',Growing of other citrus fruits,"Commercial cultivation of various types of citrus fruits, other than the commonly grown ones like oranges, lemons, grapefruits, and limes. This includes all stages of production from planting and nurturing the trees, to harvesting the fruits. It also encompasses the initial processing of these fruits for distribution to markets or for use in food and beverage production."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0124',Growing of pome fruits and stone fruits,'01241',Growing of apples,"Commercial cultivation of apple trees, which includes planting, nurturing, and harvesting apples. This business activity also encompasses the management of apple orchards, pest control, pruning, and the initial processing of apples for direct sale or further manufacturing."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0124',Growing of pome fruits and stone fruits,'01242',"Growing of appricots, peaches and nectarines","Commercial cultivation of apricots, peaches, and nectarines, including planting, nurturing, harvesting, and initial processing. This business activity also encompasses the management of orchards, pest control, and fertilization to ensure healthy growth and high-quality fruit production."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0124',Growing of pome fruits and stone fruits,'01243',Growing of cherries and sour cherries,"Commercial cultivation of cherries and sour cherries, encompassing the entire process from planting and nurturing the trees to harvesting the ripe fruits. This business activity may also include initial processing of the fruits such as washing, sorting, and packaging for sale or further processing."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0124',Growing of pome fruits and stone fruits,'01249',Growing of other pome fruits and stone fruits,"Commercial cultivation of various types of pome fruits and stone fruits, such as apples, pears, peaches, and cherries. This involves all stages of the farming process from planting and nurturing the trees to harvesting the ripe fruits. It may also include initial processing activities like cleaning, sorting and packaging of the fruits for sale or further processing."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0125',Growing of other tree and bush fruits and nuts,'01251',Growing of strawberries and other berries,"Commercial cultivation of strawberries, other berries, tree fruits, and nuts, encompassing all stages from planting and nurturing to harvesting. This business activity also involves the initial processing of these fruits and nuts, such as cleaning, sorting, and packaging, for their subsequent sale in the market."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0125',Growing of other tree and bush fruits and nuts,'01252',"Growing of edible nuts (almonds, cashew nuts, chestnuts, hazelnuts pistachios, walnuts and other nuts)","Cultivation and harvesting of edible nuts such as almonds, cashew nuts, chestnuts, hazelnuts, pistachios, walnuts, and other nut varieties. This involves all stages of nut production from planting and nurturing the trees, to harvesting the mature nuts. Additional processes may include initial cleaning, sorting, and packaging of the harvested nuts for distribution and sale."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0125',Growing of other tree and bush fruits and nuts,'01259',"Growing of other tree and bush fruits, n.e.c","Commercial cultivation of various tree and bush fruits and nuts not elsewhere classified, including planting, nurturing, harvesting, and initial processing. This involves the growth and production of fruits such as berries, cherries, plums, and a variety of nuts from trees and bushes, as well as the provision of related services like pest management, pruning, and fertilization."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0126',Growing of oleaginous fruits,'01261',Growing of coconut,"Commercial cultivation of coconut trees, encompassing activities such as planting, nurturing, and harvesting of coconuts. This business operation may also include primary processing of harvested coconuts for the production of coconut-based products like oil, milk, and cream."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0126',Growing of oleaginous fruits,'01262',Growing of olives and oil palms,"Cultivation of oleaginous fruits such as olives and oil palms, involving activities from planting and nurturing to harvesting. This includes the management of olive groves and oil palm plantations, as well as the initial processing of harvested fruits to extract oil. The business may also provide related services such as pest control, irrigation, and pruning to ensure healthy growth and high yield."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0126',Growing of oleaginous fruits,'01269',Growing of other oleaginous fruits,"Commercial cultivation of various types of oleaginous (oil-producing) fruits, such as olives, avocados, and coconuts. This involves all stages of production, from planting and nurturing the trees to harvesting the mature fruits. The business may also include initial processing steps such as cleaning, sorting, and oil extraction from the harvested fruits."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0127',Growing of beverage crops,'01271',Growing of tea,"Commercial cultivation of tea plants, encompassing planting, nurturing, harvesting, and initial processing of tea leaves. This includes activities such as soil preparation, seedling care, pest management, and the picking of tea leaves. It may also involve the initial processing steps such as withering, rolling, and drying to produce raw tea products."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0127',Growing of beverage crops,'01272',Growing of coffee,"Commercial cultivation of coffee plants, involving processes such as planting, nurturing, harvesting, and initial processing of coffee beans. This business activity may also include the management of coffee plantations and the sale of harvested coffee beans."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0127',Growing of beverage crops,'01273',Growing of cocoa,"Commercial cultivation of cocoa crops, encompassing processes such as planting, nurturing, harvesting, and initial processing of cocoa beans. This activity may also involve the management of cocoa plantations and the sale of harvested cocoa beans for use in food and beverage production."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0127',Growing of beverage crops,'01279',Growing of other beverage crops,"Cultivation of various beverage crops not classified elsewhere, such as tea, coffee, cocoa, and mate. This involves the entire agricultural process from planting and nurturing the crops to harvesting and preparing them for beverage production. It may also include the production of seeds for these crops and the provision of related support services such as crop maintenance and pest control."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0128',"Growing of spices, aromatic, drug and pharmaceutical crops",'01281',Growing of ginger,"Commercial cultivation of ginger, involving processes such as planting, nurturing, harvesting, and initial processing for uses in food, medicine, and cosmetics. This business activity also includes necessary tasks like soil preparation, crop maintenance, and disease management specific to ginger plants."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0128',"Growing of spices, aromatic, drug and pharmaceutical crops",'01282',Growing of chili,"Commercial cultivation of chili crops, which involves processes such as planting, nurturing, harvesting, and initial processing. This activity may also include the production of chili seeds for sale or the extraction of chili oil. The crops may be grown for use in food, pharmaceutical products, or other industries requiring chili."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0128',"Growing of spices, aromatic, drug and pharmaceutical crops",'01283',Growing of cardamoms,"Cultivation of cardamom crops, which involves activities such as planting, nurturing, and harvesting the plants. This business may also include the initial processing of harvested cardamom for use in various industries such as food, pharmaceuticals, and cosmetics."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0128',"Growing of spices, aromatic, drug and pharmaceutical crops",'01284',"Growing of perennial and non-perennial spices and aromatic crops (pepper, capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and other spices and aromatic crops)","Cultivation of perennial and non-perennial spices and aromatic crops such as pepper, capsicum, nutmeg, mace, anise, badian, fennel, cinnamon, cloves, vanilla, and others. This business activity involves the entire agricultural process from planting and nurturing these crops to harvesting and preparing them for market or further processing. It may also include the extraction of essential oils or other valuable compounds from these plants."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0128',"Growing of spices, aromatic, drug and pharmaceutical crops",'01285',Growing of drug and narcotic crops,"Cultivation of drug and narcotic crops, involving the planting, nurturing, and harvesting of plants used for medicinal or controlled substances. This may also include initial processing of the crops, such as drying or extracting essential components, to prepare them for pharmaceutical use."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0128',"Growing of spices, aromatic, drug and pharmaceutical crops",'01286',"Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes","Cultivation and growth of plants used primarily for perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes. This involves the planting, nurturing, and harvesting of these specific plants. The business may also include initial processing of these plants to extract essential oils, active pharmaceutical ingredients, or substances with insecticidal or fungicidal properties."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0128',"Growing of spices, aromatic, drug and pharmaceutical crops",'01287',Growing of heena leaves (mehendi),"Cultivation of heena leaves, commonly known as mehendi, as part of the spice, aromatic, drug, and pharmaceutical crops industry. This involves the planting, nurturing, harvesting, and packaging of heena leaves, which are widely used for cosmetic and medicinal purposes. The operations may also include initial processing or drying of the leaves for further use in various industries such as cosmetics, pharmaceuticals, and traditional medicine."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0129',Growing of other perennial crops,'01291',Growing of rubber trees,"Commercial cultivation of rubber trees, encompassing activities such as planting, nurturing, and harvesting of rubber trees. This also includes extraction and initial processing of latex from the trees. The business operations may also involve selling of raw rubber and other by-products obtained from the rubber trees."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0129',Growing of other perennial crops,'01292',Growing of trees for extraction of sap,"Cultivation of trees specifically for sap extraction, which involves processes such as planting, nurturing, and harvesting the sap from the trees. This activity may also include initial processing of the sap for various uses, such as syrup production, medicinal uses, or other industrial applications."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0129',Growing of other perennial crops,'01293',Growing of bamboo and cane,"Commercial cultivation of bamboo and cane crops, involving activities such as planting, nurturing, harvesting, and initial processing. This may also include the management of bamboo and cane plantations, as well as the sale of harvested bamboo and cane products."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'012',Growing of perennial crops,'0129',Growing of other perennial crops,'01299',"Growing of other perennial crops, n.e.c.","Commercial cultivation of various perennial crops not elsewhere classified, including processes like planting, nurturing, harvesting, and initial processing. This may encompass a diverse range of crops that grow and yield over several years, such as berries, fruits, nuts, or ornamental trees and shrubs."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'013',Plant propagation,'0130',Plant propagation,'01301',Growing of plants for planting,"The business activity involves the cultivation and growth of plants specifically intended for planting. Core operations include the germination of seeds, nurturing of seedlings, and the growth of plants to a stage where they are ready for transplantation. Services may also extend to providing advice on optimal planting conditions and care for the plants. The aim is to supply other businesses, such as farms or gardening centers, with healthy plants for further growth or sale."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'013',Plant propagation,'0130',Plant propagation,'01302',Operation of tree nurseries (except forest tree nurseries),"The business activity involves running tree nurseries, where young trees are propagated and grown until they reach a suitable size for planting. The process typically includes seed sowing, grafting, and cutting, as well as providing optimal growing conditions through irrigation, fertilizing, and pest management. This sub-class does not cover the operation of forest tree nurseries."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'013',Plant propagation,'0130',Plant propagation,'01309',"Growing of plants, n.e.c.","The business activity involves the cultivation and growth of a variety of plants not elsewhere classified. This includes the propagation of plants from seeds, cuttings, or grafts, as well as the maintenance of plant nurseries. Services may encompass the care and cultivation of indoor and outdoor plants, exotic plants, and other plant types not specifically mentioned in other classifications. The processes typically involve planting, watering, pruning, fertilizing, and monitoring plants for diseases and pests."
